OrderID,Date,ProductID,Product,Region,SalesRep,UnitsSold,UnitPrice,TotalRevenue
1001,2025-01-05,P101,Laptop,West,Alice,5,1200,6000
1002,2025-01-06,P102,Phone,East,Bob,10,800,8000
1003,2025-01-07,P103,Tablet,West,Charlie,7,500,3500
1004,2025-02-02,P101,Laptop,East,Alice,6,1200,7200
1005,2025-02-05,P104,Monitor,West,Bob,8,300,2400
1006,2025-02-10,P102,Phone,East,Charlie,12,800,9600
1007,2025-03-03,P103,Tablet,West,Alice,9,500,4500
1008,2025-03-08,P104,Monitor,East,Bob,10,300,3000
1009,2025-03-15,P101,Laptop,West,Charlie,4,1200,4800
1010,2025-04-01,P102,Phone,East,Alice,15,800,12000
